Player 1,Player 1 Slot,Character 1,Character 1 Alt,Player 2,Player 2 Slot,Character 2,Character 2 Alt,Winner,Tournament No.,Round No.
anzennaowl,14,Cloud,1,CrystalKiriu,5,Robin,8,CrystalKiriu,6,1
NormalWaddleDee,19,Wario,6,ToadTheBuilder,27,Wolf,8,ToadTheBuilder,6,2
satanicmetalbug,18,Link,1,ebgam3r7,20,Pokemon Trainer,7,ebgam3r7,6,2
NoWyre,1,Sephiroth,8,Faetalis_,25,Terry,1,Faetalis_,6,2
BOBBYWASABI,31,Villager,5,just_like_home,16,Snake,3,BOBBYWASABI,6,2
jujupuff,3,Villager,2,fro4152,17,Ness,2,jujupuff,6,2
Khan_Cena,15,Zelda,6,FyrusYT,7,Joker,3,Khan_Cena,6,2
kael333_,8,Incineroar,2,manashortage,4,Ness,7,kael333_,6,2
Lightsonus,22,Robin,5,CrystalKiriu,5,Robin,8,Lightsonus,6,2
ToadTheBuilder,27,Wolf,8,ebgam3r7,20,Pokemon Trainer,7,ebgam3r7,6,3
Faetalis_,25,Terry,1,BOBBYWASABI,31,Villager,5,BOBBYWASABI,6,3
jujupuff,3,Villager,2,Khan_Cena,15,Zelda,6,Khan_Cena,6,3
kael333_,8,Incineroar,2,Lightsonus,22,Robin,5,kael333_,6,3
ebgam3r7,20,Pokemon Trainer,7,BOBBYWASABI,31,Villager,5,BOBBYWASABI,6,4
Khan_Cena,15,Zelda,6,kael333_,8,Incineroar,2,Khan_Cena,6,4
BOBBYWASABI,31,Villager,5,Khan_Cena,15,Zelda,6,Khan_Cena,6,5
NECROcade,29,Meta Knight,7,NormalWaddleDee,27,Wario,6,NECROcade,7,1
jujupuff,3,Villager,2,LeifBlades,20,Pokemon Trainer,4,jujupuff,7,1
collectordoggo,12,Isabelle,3,NoWyre,2,Sephiroth,7,collectordoggo,7,1
percivalpigeon,32,Luigi,1,Saltedsword,18,Pythra,2,Saltedsword,7,1
ASingleRaindrop,6,Robin,7,6double,31,Byleth,7,6double,7,1
EnbyCatboyGF,17,Samus,5,fightingjoey,16,Kazuya,1,fightingjoey,7,1
newinky,28,R.O.B.,7,feffer,7,Kirby,1,feffer,7,1
gaperitis,24,Pit,7,Faetalis_,26,Terry,2,gaperitis,7,1
XOXneptuneXOX,4,Lucina,1,satanicmetalbug,15,Link,1,XOXneptuneXOX,7,1
SinistarIntent,25,Bayonetta,2,ebgam3r7,5,Marth,8,SinistarIntent,7,1
SashaDeminova,30,Inkling,7,ThatFrog_,8,Pythra,5,SashaDeminova,7,1
QBee_Buzz,10,Lucario,4,jeshsomething,9,Sonic,5,QBee_Buzz,7,1
ChebbsLY,23,Inkling,1,lilmisspiggy23,11,Pythra,3,lilmisspiggy23,7,1
kael333_,1,Incineroar,2,pleasgiveusername,19,Lucina,7,kael333_,7,1
